"","round","nChains","meanRate"
"1",0,20,0.0439860324585191
"2",0,40,0.0232638074308327
"3",0,80,0.0120067506738373
"4",0,160,0.00612527768702074
"5",0,320,0.00309341727238139
"6",0,640,0.00155418817721409
"7",1,20,0.0501317735610498
"8",1,40,0.0270200417912026
"9",1,80,0.0141786658918918
"10",1,160,0.00730113077364202
"11",1,320,0.00369907471844217
"12",1,640,0.0018617199293007
"13",2,20,0.0673691102354445
"14",2,40,0.0402380158274665
"15",2,80,0.022218728873394
"16",2,160,0.0117702268736167
"17",2,320,0.00606111471094052
"18",2,640,0.00307691493636756
"19",3,20,0.0895408191057398
"20",3,40,0.0582651264728621
"21",3,80,0.0348628841837271
"22",3,160,0.0194426326109007
"23",3,320,0.0102880712675141
"24",3,640,0.00530397110117891
"25",4,20,0.109596607001119
"26",4,40,0.0809163749301464
"27",4,80,0.0544514191350593
"28",4,160,0.0326162966767731
"29",4,320,0.0180441534834939
"30",4,640,0.00955470808291148
"31",5,20,0.128502262055323
"32",5,40,0.104499499389603
"33",5,80,0.0785822854887824
"34",5,160,0.0528598013336776
"35",5,320,0.0317923612228742
"36",5,640,0.0176288126953037
"37",6,20,0.136530877181078
"38",6,40,0.122791986591193
"39",6,80,0.102079530031556
"40",6,160,0.077109216505971
"41",6,320,0.0515638435223232
"42",6,640,0.0311245069341775
"43",7,20,0.142701513165603
"44",7,40,0.133694912854946
"45",7,80,0.121886656863365
"46",7,160,0.101180401047256
"47",7,320,0.0762251676647549
"48",7,640,0.0509284453366831
"49",8,20,0.145415561003765
"50",8,40,0.142138023555407
"51",8,80,0.134618138057366
"52",8,160,0.120908085235555
"53",8,320,0.100939373021474
"54",8,640,0.0757868361328352
"55",9,20,0.148708580479213
"56",9,40,0.145146391602635
"57",9,80,0.141585933553873
"58",9,160,0.133286230536258
"59",9,320,0.120360341782081
"60",9,640,0.10073841996403
"61",10,20,0.148450045424004
"62",10,40,0.147360259527517
"63",10,80,0.145183840091535
"64",10,160,0.141253553110286
"65",10,320,0.132924147249351
"66",10,640,0.120087886707252
"67",11,20,0.148858736070305
"68",11,40,0.148622580367951
"69",11,80,0.147594205390962
"70",11,160,0.144924328700294
"71",11,320,0.140807695701445
"72",11,640,0.133197401402559
"73",12,20,0.149806133490267
"74",12,40,0.14858252252592
"75",12,80,0.148599768679789
"76",12,160,0.14712374334552
"77",12,320,0.144913578444948
"78",12,640,0.140819138073877
"79",13,20,0.149568817688603
"80",13,40,0.14939624010101
"81",13,80,0.149251954884273
"82",13,160,0.148471253079971
"83",13,320,0.147289950264325
"84",13,640,0.144992002469414
"85",14,20,0.149866884706526
"86",14,40,0.149409178313159
"87",14,80,0.149252195798041
"88",14,160,0.148859084911666
"89",14,320,0.148341048887456
"90",14,640,0.147194070085847
