iteration,annealingParameter,ess
0,0.0,0.9000000923055289
1,5.628522525458099E-5,0.7380413621798018
2,1.7043728450544593E-4,0.5670829129159835
3,3.5119420594428705E-4,0.41662054159562567
4,6.159935164803315E-4,0.9000003167832883
5,9.77764114488424E-4,0.7241993974600679
6,0.0015473121148808283,0.5675848003504772
7,0.002565666754157668,0.44363817709586123
8,0.004761784994702809,0.9000000000170698
9,0.008786830025797514,0.7103032268555579
10,0.014230107220634064,0.5283164927877241
11,0.02208299436458583,0.3802916393747497
12,0.033521855544670826,0.9993497470253991
0,0.034482758620689655,0.888367798819421
1,0.050418835628449316,0.7440027275029975
0,0.06896551724137931,0.5799092154385886
0,0.10344827586206896,0.48190789789313626
0,0.13793103448275862,0.9636326244343715
0,0.1724137931034483,0.8966046156538608
0,0.20689655172413793,0.8259515324056288
0,0.2413793103448276,0.7561874174966728
0,0.27586206896551724,0.6924980174601238
0,0.3103448275862069,0.6268174829141803
0,0.3448275862068966,0.5654234921280765
0,0.3793103448275862,0.5052871426784887
0,0.41379310344827586,0.4516499153867424
0,0.4482758620689655,0.9878583081977726
0,0.4827586206896552,0.9586100711129544
0,0.5172413793103449,0.9181248238040624
0,0.5517241379310345,0.8672756164156966
0,0.5862068965517241,0.8055395108612139
0,0.6206896551724138,0.7371734755177218
0,0.6551724137931034,0.6664826519590408
0,0.6896551724137931,0.5959017707997425
0,0.7241379310344828,0.5278820207427529
0,0.7586206896551724,0.4596913160200171
0,0.7931034482758621,0.9843916651627334
0,0.8275862068965517,0.9441900856146939
0,0.8620689655172413,0.8871409071230525
0,0.896551724137931,0.8223527840919468
0,0.9310344827586207,0.7527641196023138
0,0.9655172413793104,0.6837046553892583
