round,count,rate
0,0.04735168229644812,0.02367584114822406
1,0.14718608000800518,0.029437216001601037
2,0.3432032641883568,0.03432032641883568
3,0.734523489236074,0.0367261744618037
4,1.4276063627763533,0.03660529135323983
5,2.941178463234004,0.03770741619530774
6,5.833542873283987,0.037394505597974276
7,12.012105568898138,0.03837733408593654
8,23.95817858161471,0.038333085730583534
9,48.107726212904446,0.03845541663701395
10,96.99240310632919,0.03878144866306645
11,191.8610474483454,0.03837220948966908
